39	5	40
22	47	48
33	48	47
0	47	22
0	22	26
24	3	16
24	48	33
24	14	3
24	33	14
1	48	24
1	24	16
23	40	5
23	1	16
23	5	21
23	21	1
8	39	40
8	40	41
19	16	3
19	28	41
46	13	4
32	46	35
32	13	46
36	34	25
36	41	28
36	25	8
36	8	41
43	36	28
43	34	36
2	39	35
2	5	39
2	21	5
2	49	21
29	49	26
29	26	22
29	21	49
29	22	48
29	1	21
29	48	1
15	33	47
15	27	14
15	14	33
11	6	34
11	9	6
11	34	43
11	30	9
18	9	38
18	4	13
18	13	6
18	6	9
7	0	26
7	46	4
12	4	18
12	18	38
12	7	4
12	0	7
37	40	23
37	23	16
37	16	19
37	41	40
37	19	41
44	13	32
44	25	34
44	6	13
44	34	6
10	8	25
10	39	8
10	25	44
10	44	32
10	35	39
10	32	35
17	27	30
17	30	11
17	11	43
17	43	28
45	15	47
45	47	0
45	12	38
45	0	12
31	46	7
31	35	46
31	26	49
31	7	26
31	2	35
31	49	2
42	17	28
42	19	3
42	28	19
42	27	17
42	3	14
42	14	27
20	45	38
20	15	45
20	9	30
20	38	9
20	30	27
20	27	15
